ID,Price,Time
1,23,9:00 AM
2,52,7:00 AM
3,5464,10:00 AM
1,456,12:00 AM
2,125,1:00 PM
3,451,11:00 AM
1,300,12:00 PM
2,425.36,2:00 AM
3,2000,6:00 AM
2,320.563,8:00 AM
1,12.36,11:00 PM
3,125,10:00 PM
1,452,1:00 AM
1,65.9,1:30 AM
1,362.5,2:00 AM
1,64,2:30 AM
2,65,12:00 AM
2,876,12:30 AM
2,235,1:00 AM
2,23.65,1:30 AM
2,458,2:30 AM
3,45.6,12:00 AM
3,548,12:30 AM
3,326,1:00 AM
3,2.35,1:30 AM
3,890,2:00 AM
3,456,2:30 AM
3,723,3:00 AM
3,543,3:30 AM
3,698.5,4:00 AM
1,123,12:30 AM
1,254,3:00 AM
1,268,3:30 AM
1,120,4:00 AM
1,589.6,4:30 AM
1,485,5:00 AM
1,0.325,5:30 AM
1,456,6:00 AM
2,235,3:30 AM
2,213,4:00 AM
2,525,4:30 AM
2,32,5:00 AM
2,256.32,5:30 AM
2,562.58,6:00 AM
2,545,6:30 AM
2,235.614,7:30 AM
2,235.2,8:30 AM
2,5,9:00 AM
2,56,9:30 AM
3,875,4:30 AM
3,12,5:00 AM
3,245.6,5:30 AM
3,123,6:30 AM
3,45,7:00 AM
3,236.3,7:30 AM
3,5628,8:00 AM
3,215,8:30 AM
3,6245,9:00 AM
3,0.336,9:30 AM
3,56,10:30 AM
3,456,11:30 AM
1,123,6:30 AM
1,548,7:00 AM
1,753,7:30 AM
1,215,8:00 AM
1,321.23,8:30 AM
1,6539,9:30 AM
1,236.25,10:00 AM
1,2569,10:30 AM
1,23154,11:00 AM
1,423,11:30 AM
1,125,12:30 PM
1,4569,1:00 PM
2,326.258,10:00 AM
2,12536.1,10:30 AM
2,4523,11:00 AM
2,521,11:30 AM
2,123,12:00 PM
2,321,12:30 PM
2,456,1:30 PM
2,654,2:00 PM
2,485,2:30 PM
2,1236,3:00 PM
2,956,3:30 PM
2,12,4:00 PM
2,544,4:30 PM
2,32,5:00 PM
3,32,12:00 PM
3,23,12:30 PM
3,48,1:00 PM
3,432,1:30 PM
3,236.3,2:00 PM
3,56,2:30 PM
3,5,3:00 PM
3,458,3:30 PM
3,4565,4:00 PM
3,213,4:30 PM
3,465,5:00 PM
3,3369,5:30 PM
3,6352,6:00 PM
3,52.25,6:30 PM
3,352.32,7:00 PM
3,356.659,7:30 PM
3,523.2,8:00 PM
1,132,1:30 PM
1,365.3,2:00 PM
1,236.2,2:30 PM
1,256,3:00 PM
1,895,3:30 PM
1,623,4:00 PM
1,548,4:30 PM
1,542,5:00 PM
1,236.2,5:30 PM
1,5236.2,6:00 PM
1,562.6,6:30 PM
1,565,7:00 PM
1,525,7:30 PM
1,23,8:00 PM
1,56,8:30 PM
2,89,5:30 PM
2,87,6:00 PM
2,45,6:30 PM
2,12.36,7:00 PM
2,35,7:30 PM
2,526.65,8:00 PM
2,5432.32,8:30 PM
2,35,9:00 PM
2,62,9:30 PM
2,98,10:00 PM
2,84,10:30 PM
2,59.23,11:00 PM
2,59.65,11:30 PM
3,485.63,8:30 PM
3,12,9:00 PM
3,54,9:30 PM
3,65,10:30 PM
3,32.65,11:00 PM
3,58.3,11:30 PM
1,569.3,9:00 PM
1,235,9:30 PM
1,6545,10:00 PM
1,32.65,10:30 PM
1,15,11:30 PM
